eventID,occurrenceID,measurementID,measurementType,measurementTypeID,measurementValue,measurementValueID,measurementUnit,measurementUnitID,measurementMethod
IYS:GoA2020:Stn1:trawl,IYS:GoA2020:Stn1:trawl:occ:1,IYS:GoA2020:Stn1:trawl:occ:1:individualCount,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,4,,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,total
IYS:GoA2020:Stn1:trawl,IYS:GoA2020:Stn1:trawl:occ:1,IYS:GoA2020:Stn1:trawl:occ:1:biomass,Total species biomass,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,0.012,,kilogram,http://vocab.nerc.ac.uk/collection/P06/current/KGXX/,
IYS:GoA2020:Stn1:trawl,IYS:GoA2020:Stn1:trawl:occ:2,IYS:GoA2020:Stn1:trawl:occ:2:individualCount,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,2,,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,total
IYS:GoA2020:Stn1:trawl,IYS:GoA2020:Stn1:trawl:occ:2,IYS:GoA2020:Stn1:trawl:occ:2:biomass,Total species biomass,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,1.329,,kilogram,http://vocab.nerc.ac.uk/collection/P06/current/KGXX/,
IYS:GoA2020:Stn1:trawl,IYS:GoA2020:Stn1:trawl:occ:3,IYS:GoA2020:Stn1:trawl:occ:3:individualCount,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,7,,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,total
IYS:GoA2020:Stn1:trawl,IYS:GoA2020:Stn1:trawl:occ:3,IYS:GoA2020:Stn1:trawl:occ:3:biomass,Total species biomass,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,0.002,,kilogram,http://vocab.nerc.ac.uk/collection/P06/current/KGXX/,
IYS:GoA2020:Stn1:trawl,IYS:GoA2020:Stn1:trawl:occ:4,IYS:GoA2020:Stn1:trawl:occ:4:individualCount,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,9,,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,total
IYS:GoA2020:Stn1:trawl,IYS:GoA2020:Stn1:trawl:occ:4,IYS:GoA2020:Stn1:trawl:occ:4:biomass,Total species biomass,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,,,kilogram,http://vocab.nerc.ac.uk/collection/P06/current/KGXX/,
IYS:GoA2020:Stn1:trawl,IYS:GoA2020:Stn1:trawl:occ:5,IYS:GoA2020:Stn1:trawl:occ:5:individualCount,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,57200,,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,total
IYS:GoA2020:Stn1:trawl,IYS:GoA2020:Stn1:trawl:occ:5,IYS:GoA2020:Stn1:trawl:occ:5:biomass,Total species biomass,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,2.86,,kilogram,http://vocab.nerc.ac.uk/collection/P06/current/KGXX/,
IYS:GoA2020:Stn1:trawl,IYS:GoA2020:Stn1:trawl:occ:6,IYS:GoA2020:Stn1:trawl:occ:6:individualCount,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,1,,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,total
IYS:GoA2020:Stn1:trawl,IYS:GoA2020:Stn1:trawl:occ:6,IYS:GoA2020:Stn1:trawl:occ:6:biomass,Total species biomass,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,0.005,,kilogram,http://vocab.nerc.ac.uk/collection/P06/current/KGXX/,
IYS:GoA2020:Stn1:trawl,IYS:GoA2020:Stn1:trawl:occ:7,IYS:GoA2020:Stn1:trawl:occ:7:individualCount,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,2,,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,total
