eventID,parentEventID,eventDate,year,month,day,decimalLatitude,decimalLongitude,footprintWKT,coordinateUncertaintyInMeters,minimumDepthInMeters,maximumDepthInMeters,samplingProtocol,locality,locationID,type,fieldNotes
IYS,,,,,,,,,,,,,,,project,
IYS:GoA2020,IYS,,,,,,,,,,,,,,cruise,
IYS:GoA2020:Stn1,IYS:GoA2020,,,,,,,,,,,,,,station,
IYS:GoA2020:Stn2,IYS:GoA2020,,,,,,,,,,,,,,station,
IYS:GoA2020:Stn3,IYS:GoA2020,,,,,,,,,,,,,,station,
IYS:GoA2020:Stn4,IYS:GoA2020,,,,,,,,,,,,,,station,
IYS:GoA2020:Stn5,IYS:GoA2020,,,,,,,,,,,,,,station,
IYS:GoA2020:Stn6,IYS:GoA2020,,,,,,,,,,,,,,station,
IYS:GoA2020:Stn7,IYS:GoA2020,,,,,,,,,,,,,,station,
IYS:GoA2020:Stn8,IYS:GoA2020,,,,,,,,,,,,,,station,
IYS:GoA2020:Stn9,IYS:GoA2020,,,,,,,,,,,,,,station,
IYS:GoA2020:Stn10,IYS:GoA2020,,,,,,,,,,,,,,station,
IYS:GoA2020:Stn11,IYS:GoA2020,,,,,,,,,,,,,,station,
IYS:GoA2020:Stn12,IYS:GoA2020,,,,,,,,,,,,,,station,
IYS:GoA2020:Stn13,IYS:GoA2020,,,,,,,,,,,,,,station,
IYS:GoA2020:Stn14,IYS:GoA2020,,,,,,,,,,,,,,station,
IYS:GoA2020:Stn15,IYS:GoA2020,,,,,,,,,,,,,,station,
IYS:GoA2020:Stn16,IYS:GoA2020,,,,,,,,,,,,,,station,
IYS:GoA2020:Stn17,IYS:GoA2020,,,,,,,,,,,,,,station,
IYS:GoA2020:Stn18,IYS:GoA2020,,,,,,,,,,,,,,station,
IYS:GoA2020:Stn19,IYS:GoA2020,,,,,,,,,,,,,,station,
IYS:GoA2020:Stn20,IYS:GoA2020,,,,,,,,,,,,,,station,
IYS:GoA2020:Stn21,IYS:GoA2020,,,,,,,,,,,,,,station,
IYS:GoA2020:Stn22,IYS:GoA2020,,,,,,,,,,,,,,station,
IYS:GoA2020:Stn23,IYS:GoA2020,,,,,,,,,,,,,,station,
IYS:GoA2020:Stn24,IYS:GoA2020,,,,,,,,,,,,,,station,
IYS:GoA2020:Stn25,IYS:GoA2020,,,,,,,,,,,,,,station,
IYS:GoA2020:Stn26,IYS:GoA2020,,,,,,,,,,,,,,station,
IYS:GoA2020:Stn27,IYS:GoA2020,,,,,,,,,,,,,,station,
IYS:GoA2020:Stn28,IYS:GoA2020,,,,,,,,,,,,,,station,
IYS:GoA2020:Stn29,IYS:GoA2020,,,,,,,,,,,,,,station,
IYS:GoA2020:Stn30,IYS:GoA2020,,,,,,,,,,,,,,station,
IYS:GoA2020:Stn31,IYS:GoA2020,,,,,,,,,,,,,,station,
IYS:GoA2020:Stn32,IYS:GoA2020,,,,,,,,,,,,,,station,
IYS:GoA2020:Stn33,IYS:GoA2020,,,,,,,,,,,,,,station,
IYS:GoA2020:Stn34,IYS:GoA2020,,,,,,,,,,,,,,station,
IYS:GoA2020:Stn35,IYS:GoA2020,,,,,,,,,,,,,,station,
IYS:GoA2020:Stn36,IYS:GoA2020,,,,,,,,,,,,,,station,
IYS:GoA2020:Stn37,IYS:GoA2020,,,,,,,,,,,,,,station,
IYS:GoA2020:Stn38,IYS:GoA2020,,,,,,,,,,,,,,station,
IYS:GoA2020:Stn39,IYS:GoA2020,,,,,,,,,,,,,,station,
IYS:GoA2020:Stn40,IYS:GoA2020,,,,,,,,,,,,,,station,
IYS:GoA2020:Stn41,IYS:GoA2020,,,,,,,,,,,,,,station,
IYS:GoA2020:Stn42,IYS:GoA2020,,,,,,,,,,,,,,station,
IYS:GoA2020:Stn43,IYS:GoA2020,,,,,,,,,,,,,,station,
IYS:GoA2020:Stn44,IYS:GoA2020,,,,,,,,,,,,,,station,
IYS:GoA2020:Stn45,IYS:GoA2020,,,,,,,,,,,,,,station,
IYS:GoA2020:Stn46,IYS:GoA2020,,,,,,,,,,,,,,station,
IYS:GoA2020:Stn47,IYS:GoA2020,,,,,,,,,,,,,,station,
IYS:GoA2020:Stn48,IYS:GoA2020,,,,,,,,,,,,,,station,
IYS:GoA2020:Stn49,IYS:GoA2020,,,,,,,,,,,,,,station,
IYS:GoA2020:Stn50,IYS:GoA2020,,,,,,,,,,,,,,station,
IYS:GoA2020:Stn51,IYS:GoA2020,,,,,,,,,,,,,,station,
IYS:GoA2020:Stn52,IYS:GoA2020,,,,,,,,,,,,,,station,
IYS:GoA2020:Stn1:trawl,IYS:GoA2020:Stn1,2020-03-12T09:20:00Z,2020,3,12,48.4005997022276,-127.996147532417,"LINESTRING ( -128.0575 48.4165 , -127.934833333333 48.3846666666667 )",4874.17245117177,0,25,midwater trawl,Gulf of Alaska,,midwater trawl,
IYS:GoA2020:Stn2:trawl,IYS:GoA2020:Stn2,2020-03-12T21:00:00Z,2020,3,12,48.3887554800234,-129.478390031587,"LINESTRING ( -129.5135 48.4275 , -129.443333333333 48.35 )",5031.73196140598,0,20,midwater trawl,Gulf of Alaska,,midwater trawl,Doors out of water on several occasions due to waves- small net opening. Shallow foot rope <20m
IYS:GoA2020:Stn3:trawl,IYS:GoA2020:Stn3,2020-03-14T23:13:00Z,2020,3,14,47.3808369809421,-137.011688543502,"LINESTRING ( -136.983333333333 47.4216666666667 , -137.04 47.34 )",5018.69601068094,0,17,midwater trawl,Gulf of Alaska,,midwater trawl,"10 minutes added to set as it took 10 min to get doors fishing (Neville comment:  fishing time should not be started if doors not started and net not open-1.7m is NOT a fishing net.  Therefore, fishing start time should be 11:23 if this is case.  Should review with Alecksey for validation.).   Bongo had to be repeated due to cable tangle."
IYS:GoA2020:Stn4:trawl,IYS:GoA2020:Stn4,2020-03-15T10:19:00Z,2020,3,15,47.3591678948546,-138.527428818357,"LINESTRING ( -138.511666666667 47.4 , -138.543166666667 47.3183333333333 )",4693.09444533224,0,,midwater trawl,Gulf of Alaska,,midwater trawl,
IYS:GoA2020:Stn5:trawl,IYS:GoA2020:Stn5,2020-03-15T12:30:00Z,2020,3,15,47.345838352394,-138.557795172745,"LINESTRING ( -138.5255 47.42 , -138.59 47.2716666666667 )",8598.23941519337,0,10,midwater trawl,Gulf of Alaska,,midwater trawl,
IYS:GoA2020:Stn6:trawl,IYS:GoA2020:Stn6,2020-03-15T21:55:00Z,2020,3,15,47.3708348274556,-140.019180725405,"LINESTRING ( -140.001666666667 47.4133333333333 , -140.036666666667 47.3283333333333 )",4906.45198117703,0,20,midwater trawl,Gulf of Alaska,,midwater trawl,
IYS:GoA2020:Stn7:trawl,IYS:GoA2020:Stn7,2020-03-16T07:08:00Z,2020,3,16,47.3983344792318,-141.506678965175,"LINESTRING ( -141.491666666667 47.4416666666667 , -141.521666666667 47.355 )",4949.0194498647,0,,midwater trawl,Gulf of Alaska,,midwater trawl,"Added 200 lbs of weight in order to expand vertical opening. Initially it was 400lbs, this set-600lbs."
IYS:GoA2020:Stn8:trawl,IYS:GoA2020:Stn8,2020-03-16T16:02:00Z,2020,3,16,47.3959980431805,-142.501349931004,"LINESTRING ( -142.98 47.43 , -142.023333333333 47.36 )",36319.9482969704,0,18,midwater trawl,Gulf of Alaska,,midwater trawl,Headrope target surface but actual depth ~ 2 m based on RBR
IYS:GoA2020:Stn9:trawl,IYS:GoA2020:Stn9,2020-03-17T01:39:00Z,2020,3,17,48.4091845754886,-143.07581551072,"LINESTRING ( -143.011666666667 48.395 , -143.14 48.4233333333333 )",5004.85638804215,0,20,midwater trawl,Gulf of Alaska,,midwater trawl,
IYS:GoA2020:Stn10:trawl,IYS:GoA2020:Stn10,2020-03-17T10:02:00Z,2020,3,17,48.3933485547723,-144.540844927213,"LINESTRING ( -144.481666666667 48.4033333333333 , -144.6 48.3833333333333 )",4520.56331214358,0,19,midwater trawl,,,midwater trawl,
