eventID,occurrenceID,occurrenceStatus,individualCount,scientificName,scientificNameID,scientificNameAuthorship,taxonomicStatus,taxonRank,kingdom,phylum,class,order,family,genus,specificEpithet,lifeStage,sex,occurrenceRemarks,basisOfRecord
IYS:GoA2020:Stn1:trawl,IYS:GoA2020:Stn1:trawl:occ:1,present,4,Abraliopsis felis,urn:lsid:marinespecies.org:taxname:341849,"McGowan & Okutani, 1968",alternate representation,Species,Animalia,Mollusca,Cephalopoda,Oegopsida,Enoploteuthidae,Abraliopsis,felis,,,[Four individual samples for SI,HumanObservation
IYS:GoA2020:Stn1:trawl,IYS:GoA2020:Stn1:trawl:occ:2,present,2,Aequorea victoria,urn:lsid:marinespecies.org:taxname:283998,"(Murbach & Shearer, 1902)",accepted,Species,Animalia,Cnidaria,Hydrozoa,Leptothecata,Aequoreidae,Aequorea,victoria,,,[species is Aequorea victoria according to UBC][SI (T132) individual 130mm][catch number provided by Natalie post survey],HumanObservation
IYS:GoA2020:Stn1:trawl,IYS:GoA2020:Stn1:trawl:occ:3,present,7,Citharichthys sordidus,urn:lsid:marinespecies.org:taxname:275694,"(Girard, 1854)",accepted,Species,Animalia,Chordata,Actinopteri,Pleuronectiformes,Paralichthyidae,Citharichthys,sordidus,larvae,,"[check ID: R.L has a photo and UBC has sample.  It was called flatfish spotted in field.  Natalie provided ID of Citharichthys sordidus or Pacific sanddab larvae (spotted, translucent)]{SI lengths 23-27mm]",HumanObservation
IYS:GoA2020:Stn1:trawl,IYS:GoA2020:Stn1:trawl:occ:4,present,9,Diaphus theta,urn:lsid:marinespecies.org:taxname:272694,"Eigenmann & Eigenmann, 1890",accepted,Species,Animalia,Chordata,Actinopteri,Myctophiformes,Myctophidae,Diaphus,theta,,,,HumanObservation
IYS:GoA2020:Stn1:trawl,IYS:GoA2020:Stn1:trawl:occ:5,present,57200,Euphausia pacifica,urn:lsid:marinespecies.org:taxname:237851,"Hansen, 1911",accepted,Species,Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Euphausia,pacifica,,,[Species confirm by UBC as  Euphausia pacifica [average individual weight 0.05g and number caught estimated using this value][FA (A238) and SI (T192] lengths 16-21mm],HumanObservation
IYS:GoA2020:Stn1:trawl,IYS:GoA2020:Stn1:trawl:occ:6,present,1,Hormiphora cucumis,urn:lsid:marinespecies.org:taxname:106382,"(Mertens, 1833)",accepted,Species,Animalia,Ctenophora,Tentaculata,Cydippida,Pleurobrachiidae,Hormiphora,cucumis,,,,HumanObservation
IYS:GoA2020:Stn1:trawl,IYS:GoA2020:Stn1:trawl:occ:7,present,2,Lipolagus ochotensis,urn:lsid:marinespecies.org:taxname:281374,"(Schmidt, 1938)",accepted,Species,Animalia,Chordata,Actinopteri,Argentiniformes,Bathylagidae,Lipolagus,ochotensis,,,[Originally Id'd as Nansenia candida - corrected to lipolagus by Natalie],HumanObservation
IYS:GoA2020:Stn1:trawl,IYS:GoA2020:Stn1:trawl:occ:8,present,20,Sergestes similis,urn:lsid:marinespecies.org:taxname:240788,"Hansen, 1903",unaccepted,Species,Animalia,Arthropoda,Malacostraca,Decapoda,Sergestidae,Sergestes,similis,,,[SI (T190) and FA (A237) lengths 25-35mm] [species change from field ID of Pasiphaea pacifica- UBC],HumanObservation
IYS:GoA2020:Stn1:trawl,IYS:GoA2020:Stn1:trawl:occ:9,present,1,Salpa aspera,urn:lsid:marinespecies.org:taxname:137270,"Chamisso, 1819",accepted,Species,Animalia,Chordata,Thaliacea,Salpida,Salpidae,Salpa,aspera,,,[confirm if species is Salpa aspera],HumanObservation
IYS:GoA2020:Stn1:trawl,IYS:GoA2020:Stn1:trawl:occ:10,present,33,Stenobrachius leucopsarus,urn:lsid:marinespecies.org:taxname:254363,"(Eigenmann & Eigenmann, 1890)",accepted,Species,Animalia,Chordata,Actinopteri,Myctophiformes,Myctophidae,Stenobrachius,leucopsarus,,,,HumanObservation
