eventID,resourceRelationshipID,resourceID,relationshipOfResource,relatedResourceID
IYS:GoA2020:Stn1:trawl,IYS:GoA2020:Stn1:trawl:occ:1:rr:001,IYS:GoA2020:Stn1:trawl:sample:1:occ,is a subset of,IYS:GoA2020:Stn1:trawl:occ:1
IYS:GoA2020:Stn1:trawl,IYS:GoA2020:Stn1:trawl:occ:1:rr:002,IYS:GoA2020:Stn1:trawl:sample:2:occ,is a subset of,IYS:GoA2020:Stn1:trawl:occ:1
IYS:GoA2020:Stn1:trawl,IYS:GoA2020:Stn1:trawl:occ:1:rr:003,IYS:GoA2020:Stn1:trawl:sample:3:occ,is a subset of,IYS:GoA2020:Stn1:trawl:occ:1
IYS:GoA2020:Stn1:trawl,IYS:GoA2020:Stn1:trawl:occ:1:rr:004,IYS:GoA2020:Stn1:trawl:sample:4:occ,is a subset of,IYS:GoA2020:Stn1:trawl:occ:1
IYS:GoA2020:Stn1:trawl,IYS:GoA2020:Stn1:trawl:occ:2:rr:005,IYS:GoA2020:Stn1:trawl:sample:5:occ,is a subset of,IYS:GoA2020:Stn1:trawl:occ:2
IYS:GoA2020:Stn1:trawl,IYS:GoA2020:Stn1:trawl:occ:3:rr:006,IYS:GoA2020:Stn1:trawl:sample:6:occ,is a subset of,IYS:GoA2020:Stn1:trawl:occ:3
IYS:GoA2020:Stn1:trawl,IYS:GoA2020:Stn1:trawl:occ:3:rr:007,IYS:GoA2020:Stn1:trawl:sample:7:occ,is a subset of,IYS:GoA2020:Stn1:trawl:occ:3
IYS:GoA2020:Stn1:trawl,IYS:GoA2020:Stn1:trawl:occ:3:rr:008,IYS:GoA2020:Stn1:trawl:sample:8:occ,is a subset of,IYS:GoA2020:Stn1:trawl:occ:3
IYS:GoA2020:Stn1:trawl,IYS:GoA2020:Stn1:trawl:occ:3:rr:009,IYS:GoA2020:Stn1:trawl:sample:9:occ,is a subset of,IYS:GoA2020:Stn1:trawl:occ:3
IYS:GoA2020:Stn1:trawl,IYS:GoA2020:Stn1:trawl:occ:3:rr:010,IYS:GoA2020:Stn1:trawl:sample:10:occ,is a subset of,IYS:GoA2020:Stn1:trawl:occ:3
IYS:GoA2020:Stn1:trawl,IYS:GoA2020:Stn1:trawl:occ:3:rr:011,IYS:GoA2020:Stn1:trawl:sample:11:occ,is a subset of,IYS:GoA2020:Stn1:trawl:occ:3
IYS:GoA2020:Stn1:trawl,IYS:GoA2020:Stn1:trawl:occ:3:rr:012,IYS:GoA2020:Stn1:trawl:sample:12:occ,is a subset of,IYS:GoA2020:Stn1:trawl:occ:3
IYS:GoA2020:Stn1:trawl,IYS:GoA2020:Stn1:trawl:occ:4:rr:013,IYS:GoA2020:Stn1:trawl:sample:13:occ,is a subset of,IYS:GoA2020:Stn1:trawl:occ:4
IYS:GoA2020:Stn1:trawl,IYS:GoA2020:Stn1:trawl:occ:4:rr:014,IYS:GoA2020:Stn1:trawl:sample:14:occ,is a subset of,IYS:GoA2020:Stn1:trawl:occ:4
IYS:GoA2020:Stn1:trawl,IYS:GoA2020:Stn1:trawl:occ:4:rr:015,IYS:GoA2020:Stn1:trawl:sample:15:occ,is a subset of,IYS:GoA2020:Stn1:trawl:occ:4
IYS:GoA2020:Stn1:trawl,IYS:GoA2020:Stn1:trawl:occ:4:rr:016,IYS:GoA2020:Stn1:trawl:sample:16:occ,is a subset of,IYS:GoA2020:Stn1:trawl:occ:4
IYS:GoA2020:Stn1:trawl,IYS:GoA2020:Stn1:trawl:occ:4:rr:017,IYS:GoA2020:Stn1:trawl:sample:17:occ,is a subset of,IYS:GoA2020:Stn1:trawl:occ:4
IYS:GoA2020:Stn1:trawl,IYS:GoA2020:Stn1:trawl:occ:4:rr:018,IYS:GoA2020:Stn1:trawl:sample:18:occ,is a subset of,IYS:GoA2020:Stn1:trawl:occ:4
IYS:GoA2020:Stn1:trawl,IYS:GoA2020:Stn1:trawl:occ:4:rr:019,IYS:GoA2020:Stn1:trawl:sample:19:occ,is a subset of,IYS:GoA2020:Stn1:trawl:occ:4
IYS:GoA2020:Stn1:trawl,IYS:GoA2020:Stn1:trawl:occ:4:rr:020,IYS:GoA2020:Stn1:trawl:sample:20:occ,is a subset of,IYS:GoA2020:Stn1:trawl:occ:4
IYS:GoA2020:Stn1:trawl,IYS:GoA2020:Stn1:trawl:occ:4:rr:021,IYS:GoA2020:Stn1:trawl:sample:21:occ,is a subset of,IYS:GoA2020:Stn1:trawl:occ:4
IYS:GoA2020:Stn1:trawl,IYS:GoA2020:Stn1:trawl:occ:5:rr:022,IYS:GoA2020:Stn1:trawl:sample:22:occ,is a subset of,IYS:GoA2020:Stn1:trawl:occ:5
IYS:GoA2020:Stn1:trawl,IYS:GoA2020:Stn1:trawl:occ:6:rr:023,IYS:GoA2020:Stn1:trawl:sample:23:occ,is a subset of,IYS:GoA2020:Stn1:trawl:occ:6
IYS:GoA2020:Stn1:trawl,IYS:GoA2020:Stn1:trawl:occ:7:rr:024,IYS:GoA2020:Stn1:trawl:sample:24:occ,is a subset of,IYS:GoA2020:Stn1:trawl:occ:7
IYS:GoA2020:Stn1:trawl,IYS:GoA2020:Stn1:trawl:occ:7:rr:025,IYS:GoA2020:Stn1:trawl:sample:25:occ,is a subset of,IYS:GoA2020:Stn1:trawl:occ:7
IYS:GoA2020:Stn1:trawl,IYS:GoA2020:Stn1:trawl:occ:9:rr:026,IYS:GoA2020:Stn1:trawl:sample:29:occ,is a subset of,IYS:GoA2020:Stn1:trawl:occ:9
IYS:GoA2020:Stn1:trawl,IYS:GoA2020:Stn1:trawl:occ:10:rr:027,IYS:GoA2020:Stn1:trawl:sample:30:occ,is a subset of,IYS:GoA2020:Stn1:trawl:occ:10
IYS:GoA2020:Stn1:trawl,IYS:GoA2020:Stn1:trawl:occ:10:rr:028,IYS:GoA2020:Stn1:trawl:sample:31:occ,is a subset of,IYS:GoA2020:Stn1:trawl:occ:10
IYS:GoA2020:Stn1:trawl,IYS:GoA2020:Stn1:trawl:occ:10:rr:029,IYS:GoA2020:Stn1:trawl:sample:32:occ,is a subset of,IYS:GoA2020:Stn1:trawl:occ:10
IYS:GoA2020:Stn1:trawl,IYS:GoA2020:Stn1:trawl:occ:10:rr:030,IYS:GoA2020:Stn1:trawl:sample:33:occ,is a subset of,IYS:GoA2020:Stn1:trawl:occ:10
IYS:GoA2020:Stn1:trawl,IYS:GoA2020:Stn1:trawl:occ:10:rr:031,IYS:GoA2020:Stn1:trawl:sample:34:occ,is a subset of,IYS:GoA2020:Stn1:trawl:occ:10
IYS:GoA2020:Stn1:trawl,IYS:GoA2020:Stn1:trawl:occ:10:rr:032,IYS:GoA2020:Stn1:trawl:sample:35:occ,is a subset of,IYS:GoA2020:Stn1:trawl:occ:10
IYS:GoA2020:Stn1:trawl,IYS:GoA2020:Stn1:trawl:occ:10:rr:033,IYS:GoA2020:Stn1:trawl:sample:36:occ,is a subset of,IYS:GoA2020:Stn1:trawl:occ:10
IYS:GoA2020:Stn1:trawl,IYS:GoA2020:Stn1:trawl:occ:10:rr:034,IYS:GoA2020:Stn1:trawl:sample:37:occ,is a subset of,IYS:GoA2020:Stn1:trawl:occ:10
IYS:GoA2020:Stn1:trawl,IYS:GoA2020:Stn1:trawl:occ:10:rr:035,IYS:GoA2020:Stn1:trawl:sample:38:occ,is a subset of,IYS:GoA2020:Stn1:trawl:occ:10
IYS:GoA2020:Stn1:trawl,IYS:GoA2020:Stn1:trawl:occ:10:rr:036,IYS:GoA2020:Stn1:trawl:sample:39:occ,is a subset of,IYS:GoA2020:Stn1:trawl:occ:10
IYS:GoA2020:Stn1:trawl,IYS:GoA2020:Stn1:trawl:occ:10:rr:037,IYS:GoA2020:Stn1:trawl:sample:40:occ,is a subset of,IYS:GoA2020:Stn1:trawl:occ:10
